benchmark,category,max_loop_depth,max_arg_rank,num_high_level_ops,num_tensor_contractions
2mm,polybench/linear-algebra/kernels,3,2,3,2
3mm,polybench/linear-algebra/kernels,3,2,1,3
atax,polybench/linear-algebra/kernels,2,2,3,2
bicg,polybench/linear-algebra/kernels,2,2,3,2
correlation,polybench/datamining,3,2,3,1
covariance,polybench/datamining,3,2,3,1
doitgen,polybench/linear-algebra/kernels,4,3,1,1
gemm,polybench/linear-algebra/blas,3,2,3,1
gemver,polybench/linear-algebra/blas,2,2,5,2
gesummv,polybench/linear-algebra/blas,2,2,5,2
mvt,polybench/linear-algebra/kernels,2,2,2,2
symm,polybench/linear-algebra/blas,3,2,4,1
syr2k,polybench/linear-algebra/blas,3,2,8,2
syrk,polybench/linear-algebra/blas,3,2,5,1
trmm,polybench/linear-algebra/blas,3,2,3,1
matadd,dsp,2,2,1,0
matinit,dsp,2,2,1,0
matmul,dsp,3,2,2,1
matscal,dsp,2,2,1,0
matsub,dsp,2,2,1,0
vadd,dsp,1,1,1,0
vcopy,dsp,1,1,1,0
vfill,dsp,1,1,2,0
vmul,dsp,1,1,1,0
vneg,dsp,1,1,1,0
voffset,dsp,1,1,1,0
vrecip,dsp,1,1,1,0
vscal,dsp,1,1,1,0
vsub,dsp,1,1,1,0
wvec,dsp,1,1,2,0
dot,blas,1,1,1,1
gemv,blas,2,2,1,1
ger,blas,2,2,4,0
gemm_nn,darknet,3,2,3,1
gemm_nt,darknet,3,2,3,1
gemm_tn,darknet,3,2,3,1
gemm_tt,darknet,3,2,3,0
mag_array,darknet,1,1,1,1
matrix_add_matrix,darknet,2,2,1,0
mse_array,darknet,1,1,1,1
mult_add_into_cpu,darknet,1,1,2,0
ol_l2_cpu1,darknet,1,1,2,0
ol_l2_cpu2,darknet,1,1,1,0
scale_array,darknet,1,1,1,0
scale_matrix,darknet,2,2,1,0
sum_array,darknet,1,1,1,0
translate_array,darknet,1,1,1,0
mat1x3,dspstone,2,2,1,1
matrix1,dspstone,3,2,1,1
matrix2,dspstone,3,2,1,1
n_real_updates,dspstone,1,1,2,0
pin_down,darknet,1,1,1,0
sum_of_squares,makespeare,1,1,1,1
diveq_sca,mathfu,1,1,1,0
diveq,mathfu,1,1,1,0
len_sq,mathfu,1,1,1,1
len,mathfu,1,1,1,1
lerp,mathfu,1,1,4,0
matmul_sca,mathfu,2,2,1,0
muleq,mathfu,1,1,1,0
muleq_sca,mathfu,1,1,1,0
negate,mathfu,1,1,1,0
pluseq,mathfu,1,1,1,0
subeq,mathfu,1,1,1,0
array_inc,simpl_array,1,1,1,0
array_sum,simpl_array,1,1,1,0
cube_in_place,simpl_array,1,1,1,0
fourth_in_place,simpl_array,1,1,1,0
sum_elts,simpl_array,1,1,1,1
dct,utdsp,3,2,2,2
fir_small,utdsp,1,1,1,1
histogram,utdsp,1,1,1,0
lmsfir1,utdsp,1,1,1,1
lmsfir2,utdsp,1,1,2,0
mult_big,utdsp,3,2,1,1
matmul_ll,llama,2,2,1,1
rmsnorm_part1,llama,1,1,1,0
rmsnorm_part2,llama,1,1,4,0
softmax_part1,llama,1,1,1,0
softmax_part2,llama,1,1,2,0
softmax_part3,llama,1,1,1,0
softmax_part4,llama,1,1,1,0
transformer_part3,llama,1,1,4,0
transformer_part4,llama,1,1,1,0
color_burn_8,blend,2,2,5,0
color_dodge_8,blend,2,2,4,0
darken_blend_8,blend,2,2,2,0
dissolve_blend_8,blend,2,2,6,0
lighten_blend_8,blend,2,2,2,0
linear_burn_8,blend,2,2,2,0
linear_dodge_8,blend,2,2,1,0
multiply_blend_8,blend,2,2,2,0
normal_blend_8,blend,2,2,4,0
normal_blend_f,blend,2,2,4,0
overlay_blend_8,blend,2,2,12,0
screen_blend_8,blend,2,2,4,0